incident,pattern,provider,status,grounding_ratio,unsupported_count,proposed_count,causality_overclaims,uncertainty_language_detected,model_calls,tool_calls,total_tokens,latency_ms,trajectory,error
INC-001,augmented,openai,ok,1.0,0,0,1,True,1,0,871,7313.038,load-evidence -> model-analysis,
INC-001,augmented,groq,ok,0.8462,2,0,0,True,1,0,1250,1957.463,load-evidence -> model-analysis,
INC-001,augmented,anthropic,ok,1.0,0,0,1,True,1,0,1797,17171.276,load-evidence -> model-analysis,
INC-001,chaining,openai,ok,1.0,0,0,0,True,3,0,3848,26339.3,extract-facts -> assess -> recommend,
INC-001,chaining,groq,ok,0.625,3,5,0,True,3,0,4194,3810.691,extract-facts -> assess -> recommend,
INC-001,chaining,anthropic,ok,0.6667,1,0,1,True,3,0,6231,40577.782,extract-facts -> assess -> recommend,
INC-001,routing,openai,ok,1.0,0,0,0,True,2,0,829,5465.18,classify -> route:deployment -> model-analysis,
INC-001,routing,groq,ok,0.7857,3,0,1,True,2,0,1888,2171.348,classify -> route:dependency -> model-analysis,
INC-001,routing,anthropic,ok,0.9167,1,0,1,True,2,0,1862,15100.747,classify -> route:deployment -> model-analysis,
INC-001,parallel,openai,ok,1.0,0,0,3,True,4,0,5615,20246.595,fan-out:3 -> fan-in -> aggregate,
INC-001,parallel,groq,ok,1.0,0,0,0,True,4,0,6021,3095.416,fan-out:3 -> fan-in -> aggregate,
INC-001,parallel,anthropic,ok,0.8333,2,0,0,True,4,0,9147,37284.461,fan-out:3 -> fan-in -> aggregate,
INC-001,evaluator-optimizer,openai,ok,1.0,0,0,0,True,2,0,1560,10150.39,generate -> evaluate:1 -> quality-pass,
INC-001,evaluator-optimizer,groq,ok,0.8182,2,0,0,True,2,0,2460,2181.627,generate -> evaluate:1 -> quality-pass,
INC-001,evaluator-optimizer,anthropic,ok,1.0,0,0,2,True,2,0,3209,17029.067,generate -> evaluate:1 -> quality-pass,
INC-001,agent,openai,ok,1.0,0,0,0,True,2,5,1699,6829.894,get_service_metrics -> get_recent_deployments -> get_dependencies -> search_runbook -> get_previous_incidents -> final-answer,
INC-001,agent,groq,ok,0.9167,1,1,0,True,5,4,4142,3240.335,get_service_metrics -> get_recent_deployments -> get_dependencies -> get_previous_incidents -> final-answer,
INC-001,agent,anthropic,ok,0.8462,2,0,0,True,2,5,4403,17790.624,get_service_metrics -> get_recent_deployments -> get_dependencies -> search_runbook -> get_previous_incidents -> final-answer,
INC-002,augmented,openai,ok,1.0,0,0,0,True,1,0,948,7448.007,load-evidence -> model-analysis,
INC-002,augmented,groq,ok,0.9286,1,0,0,True,1,0,1085,1122.868,load-evidence -> model-analysis,
INC-002,augmented,anthropic,ok,1.0,0,0,0,True,1,0,1554,11668.196,load-evidence -> model-analysis,
INC-002,chaining,openai,ok,0.6667,2,0,0,True,3,0,4162,26923.23,extract-facts -> assess -> recommend,
INC-002,chaining,groq,ok,0.6,2,0,0,True,3,0,4649,4489.522,extract-facts -> assess -> recommend,
INC-002,chaining,anthropic,ok,0.875,1,0,0,True,3,0,5578,32112.184,extract-facts -> assess -> recommend,
INC-002,routing,openai,ok,1.0,0,0,0,True,2,0,1014,5384.232,classify -> route:deployment -> model-analysis,
