incident,pattern,providers_attempted,providers_observed,observed_providers,mean_grounding_ok_only,mean_causality_overclaims_ok_only,total_causality_overclaims_ok_only,mean_total_tokens_ok_only,p50_latency_ms_ok_only
INC-001,augmented,3,3,"anthropic,groq,openai",0.9487,0.6667,2,1306.0,7313.038
INC-001,chaining,3,3,"anthropic,groq,openai",0.7639,0.3333,1,4757.6667,26339.3
INC-001,routing,3,3,"anthropic,groq,openai",0.9008,0.6667,2,1526.3333,5465.18
INC-001,parallel,3,3,"anthropic,groq,openai",0.9444,1.0,3,6927.6667,20246.595
INC-001,evaluator-optimizer,3,3,"anthropic,groq,openai",0.9394,0.6667,2,2409.6667,10150.39
INC-001,agent,3,3,"anthropic,groq,openai",0.921,0.0,0,3414.6667,6829.894
INC-002,augmented,3,3,"anthropic,groq,openai",0.9762,0.0,0,1195.6667,7448.007
INC-002,chaining,3,3,"anthropic,groq,openai",0.7139,0.0,0,4796.3333,26923.23
INC-002,routing,3,3,"anthropic,groq,openai",0.9005,0.0,0,1589.6667,5384.232
INC-002,parallel,3,3,"anthropic,groq,openai",0.9744,0.3333,1,6867.3333,16049.958
INC-002,evaluator-optimizer,3,3,"anthropic,groq,openai",0.9804,0.0,0,4158.3333,7382.13
INC-002,agent,3,3,"anthropic,groq,openai",0.9804,0.0,0,3086.0,6016.927
INC-003,augmented,3,2,"anthropic,openai",1.0,0.5,1,1240.0,9251.721
INC-003,chaining,3,1,openai,0.75,0.0,0,3495.0,22061.887
INC-003,routing,3,2,"anthropic,openai",0.9375,0.0,0,1404.0,9404.837
INC-003,parallel,3,2,"anthropic,openai",0.8643,1.0,2,7013.0,32097.5475
INC-003,evaluator-optimizer,3,2,"anthropic,openai",1.0,0.5,1,4972.5,22601.528
INC-003,agent,3,2,"anthropic,openai",0.9166,0.0,0,2892.0,11403.4785
INC-004,augmented,3,2,"anthropic,openai",1.0,0.0,0,1329.0,9960.1585
INC-004,chaining,3,2,"anthropic,openai",0.7571,2.0,4,5380.0,31177.5285
INC-004,routing,3,2,"anthropic,openai",1.0,0.0,0,1722.0,12471.266
INC-004,parallel,3,2,"anthropic,openai",1.0,0.5,1,7999.5,30784.75
INC-004,evaluator-optimizer,3,2,"anthropic,openai",1.0,0.5,1,2309.5,10464.05
INC-004,agent,3,2,"anthropic,openai",1.0,0.0,0,3145.0,12956.311
