provider,pattern,attempted,ok,completion_rate,rate_limited,provider_errors,bound_exceeded,mean_grounding_ratio_ok_only,mean_unsupported_ok_only,mean_proposed_ok_only,mean_causality_overclaims_ok_only,total_causality_overclaims_ok_only,uncertainty_language_rate_ok_only,mean_model_calls_ok_only,mean_tool_calls_ok_only,mean_total_tokens_ok_only,p50_latency_ms_ok_only,unique_trajectories_ok_only
openai,augmented,4,4,1.0,0,0,0,1.0,0.0,0.0,0.25,1,1.0,1.0,0.0,946.5,7380.5225,1
openai,chaining,4,4,1.0,0,0,0,0.8042,1.0,0.25,0.25,1,1.0,3.0,0.0,4015.75,26039.9975,1
openai,routing,4,4,1.0,0,0,0,1.0,0.0,0.0,0.0,0,1.0,2.0,0.0,993.25,5520.997,3
openai,parallel,4,4,1.0,0,0,0,0.9821,0.25,0.25,0.75,3,1.0,4.0,0.0,5172.25,20596.845,1
openai,evaluator-optimizer,4,4,1.0,0,0,0,1.0,0.0,0.0,0.5,2,1.0,2.0,0.0,1628.0,8012.029,1
openai,agent,4,4,1.0,0,0,0,1.0,0.0,0.0,0.0,0,1.0,2.0,5.0,1671.0,6423.4105,1
groq,augmented,4,2,0.5,2,0,0,0.8874,1.5,0.0,0.0,0,1.0,1.0,0.0,1167.5,1540.1655,1
groq,chaining,4,2,0.5,2,0,0,0.6125,2.5,2.5,0.0,0,1.0,3.0,0.0,4421.5,4150.1065,1
groq,routing,4,2,0.5,2,0,0,0.7991,3.0,1.0,0.5,1,1.0,2.0,0.0,1800.0,2117.279,2
groq,parallel,4,2,0.5,2,0,0,0.9616,0.5,0.0,0.5,1,1.0,4.0,0.0,6003.0,2872.788,1
groq,evaluator-optimizer,4,2,0.5,2,0,0,0.8797,1.5,0.0,0.0,0,1.0,2.0,0.0,2448.5,2305.265,1
groq,agent,4,2,0.5,2,0,0,0.9289,1.0,0.5,0.0,0,1.0,4.5,3.5,3717.0,3030.716,2
anthropic,augmented,4,4,1.0,0,0,0,1.0,0.0,0.25,0.5,2,1.0,1.0,0.0,1630.5,11827.7015,1
anthropic,chaining,4,3,0.75,0,1,0,0.752,1.3333,0.0,1.3333,4,1.0,3.0,0.0,6003.6667,36614.362,1
anthropic,routing,4,4,1.0,0,0,0,0.9202,1.25,0.0,0.25,1,1.0,2.0,0.0,2006.75,14222.1395,3
anthropic,parallel,4,4,1.0,0,0,0,0.9083,1.0,0.5,0.75,3,1.0,4.0,0.0,9678.75,41071.564,1
anthropic,evaluator-optimizer,4,4,1.0,0,0,0,1.0,0.0,0.25,0.5,2,1.0,3.0,0.0,5714.75,26688.3175,2
anthropic,agent,4,4,1.0,0,0,0,0.9199,1.0,0.5,0.0,0,1.0,2.0,5.0,4364.5,17357.9295,1
