provider,incident_id,attempted,ok,rate_limited,provider_error,bound_exceeded,completion_rate,aligned,alignment_rate,overclaimed,overclaim_rate,no_position,over_hedged,insufficient_abstention,mean_grounding_ratio,mean_causality_overclaims,mean_model_calls,mean_tool_calls,mean_total_tokens,p50_latency_ms
anthropic,INC-001,6,6,0,0,0,1.0,0,0.0,6,1.0,0,0,0,0.90835,0.16666666666666666,2.3333333333333335,0.8333333333333334,4470.666666666667,17780.0615
anthropic,INC-002,6,6,0,0,0,1.0,4,0.666667,2,0.333333,0,0,0,0.9537,0.3333333333333333,2.3333333333333335,0.8333333333333334,4323.333333333333,17270.359
anthropic,INC-003,6,6,0,0,0,1.0,2,0.333333,3,0.5,0,1,0,0.9236166666666666,0.5,2.3333333333333335,0.8333333333333334,4301.333333333333,19333.2555
anthropic,INC-004,6,6,0,0,0,1.0,1,0.166667,5,0.833333,0,0,0,0.9902,0.3333333333333333,2.3333333333333335,0.8333333333333334,4765.5,16255.187000000002
groq,INC-001,6,6,0,0,0,1.0,0,0.0,6,1.0,0,0,0,0.8453999999999999,0.6666666666666666,2.8333333333333335,0.6666666666666666,3270.8333333333335,2576.0895
groq,INC-002,6,5,0,1,0,0.833333,1,0.2,2,0.4,1,1,0,0.95148,0.6,2.6,0.4,3271.0,2239.005
groq,INC-003,6,5,1,0,0,0.833333,3,0.6,1,0.2,1,0,0,0.8534,0.2,2.8,0.6,3368.6,2912.83
groq,INC-004,6,6,0,0,0,1.0,1,0.166667,3,0.5,2,0,0,0.84425,0.3333333333333333,2.8333333333333335,0.6666666666666666,3266.5,2657.921
openai,INC-001,6,6,0,0,0,1.0,2,0.333333,4,0.666667,0,0,0,1.0,0.6666666666666666,2.3333333333333335,0.8333333333333334,2508.1666666666665,11039.7765
openai,INC-002,6,6,0,0,0,1.0,3,0.5,2,0.333333,1,0,0,0.9902,0.3333333333333333,2.3333333333333335,0.8333333333333334,2312.8333333333335,9249.086
openai,INC-003,6,6,0,0,0,1.0,2,0.333333,2,0.333333,1,1,0,1.0,0.5,2.3333333333333335,0.8333333333333334,2104.6666666666665,9288.669
openai,INC-004,6,6,0,0,0,1.0,1,0.166667,5,0.833333,0,0,0,0.95,0.8333333333333334,2.3333333333333335,0.8333333333333334,2723.8333333333335,9882.060000000001
